UCSC_RefGene_Name	probe_id	pt_113N	pt_113T	pt_116N	pt_116T	pt_119N	pt_119T	pt_122N	pt_122T	pt_125N	pt_125T	pt_129N	pt_129T	pt_133N	pt_133T	pt_134N	pt_134T	pt_135N	pt_135T	pt_137N	pt_137T	pt_138N	pt_138T	pt_140N	pt_140T	UCSC_RefGene_Group
CECR1	cg23626763	0.538314758	0.741454854	0.57908824	0.318694479	0.58686476	0.794946411	0.811557694	0.851290982	0.664758783	0.746288983	0.768457844	0.51142358	0.728875797	0.722441172	0.620047214	0.787343704	0.644465493	0.754243203	0.757439468	0.386662016	0.641980608	0.837827816	0.62084828	0.443645191	Body
CECR1	cg24127748	0.383473294	0.438027203	0.376331665	0.652366593	0.432600444	0.734272011	0.650076322	0.744595358	0.442511521	0.351940605	0.555424512	0.526854438	0.584013502	0.560050974	0.410509437	0.638729819	0.504997906	0.558478747	0.627577969	0.480133318	0.387479116	0.538196134	0.337352746	0.360093193	Body
CECR1	cg24291485	0.695900856	0.761895531	0.736266999	0.692444428	0.722939594	0.743104696	0.663940641	0.758129645	0.716588813	0.744456792	0.726929188	0.756051024	0.686401217	0.772162624	0.690425995	0.806591139	0.723863447	0.752735191	0.728591516	0.737862025	0.734289165	0.690670276	0.737577635	0.72552383	Body
CECR1	cg27534599	0.439189901	0.542200091	0.418391324	0.358589666	0.49307864	0.726826774	0.620796487	0.746216376	0.467061662	0.706039354	0.618439621	0.793869756	0.557738972	0.707662148	0.433474592	0.792076939	0.560153149	0.652809414	0.611223028	0.518161442	0.407863765	0.817356693	0.40287904	0.298619722	Body
CECR2	cg01010211	0.698654339	0.497220703	0.564420872	0.412392258	0.648097855	0.376148591	0.438222418	0.67334411	0.674250301	0.336750034	0.478066117	0.272315154	0.436983346	0.45142085	0.57455591	0.534684627	0.421311054	0.516713223	0.526565283	0.226230668	0.647838269	0.713910869	0.700630463	0.235703503	TSS200
CECR2	cg03335938	0.629605203	0.625037375	0.697011068	0.354422687	0.605655615	0.624310033	0.673837474	0.633622329	0.70681133	0.477258476	0.764688919	0.506168807	0.594039112	0.631313028	0.812141442	0.59282059	0.65639923	0.645671244	0.663136603	0.40653706	0.610247393	0.535459953	0.545564009	0.479276577	TSS1500
CECR2	cg03408904	0.725493742	0.641192058	0.617363704	0.483011086	0.686448474	0.46729097	0.45875321	0.748288515	0.695388792	0.545048559	0.555680295	0.385209999	0.472821153	0.577136987	0.647182102	0.657306869	0.54346905	0.639567999	0.592387884	0.372918698	0.671659993	0.763342348	0.728882843	0.371253017	TSS200
CECR2	cg05657292	0.174746695	0.180502761	0.259437178	0.107465584	0.163738811	0.201455045	0.27622248	0.175486723	0.209951156	0.150507556	0.237201317	0.123288686	0.291403177	0.180450493	0.225730385	0.145204416	0.125407015	0.172169498	0.227313886	0.187165477	0.155743386	0.104066298	0.171851283	0.147332471	Body
CECR2	cg07197230	0.78838422	0.450969145	0.610504316	0.418366397	0.749479256	0.336976608	0.411936117	0.716071942	0.692924205	0.264102402	0.484346386	0.269070683	0.434499551	0.504827423	0.678907622	0.555984518	0.536488514	0.567691907	0.54086788	0.31939108	0.728580411	0.759958217	0.806300863	0.309276013	1stExon
CECR2	cg11314536	0.864180166	0.808700498	0.862070435	0.515514935	0.830810695	0.827152369	0.73668449	0.863318249	0.847335052	0.70885718	0.822924857	0.862726651	0.801237291	0.807169499	0.864251027	0.799124185	0.844720786	0.867238146	0.837899883	0.871797213	0.874171219	0.854180545	0.868448791	0.861781308	3'UTR
CECR2	cg13762691	0.623565758	0.399952676	0.511748541	0.184932664	0.582309438	0.208544607	0.397364696	0.404474433	0.554701288	0.221097045	0.42085217	0.239532908	0.382734461	0.353497662	0.54810256	0.430975308	0.402021933	0.473898075	0.487588309	0.308129326	0.576721614	0.716545148	0.599543524	0.309136958	TSS200
CECR2	cg22525154	0.851654924	0.854916786	0.88036177	0.892925324	0.875941701	0.814297609	0.847174535	0.844926439	0.836213191	0.882018612	0.875574644	0.872199484	0.863893363	0.867986619	0.883250858	0.878506083	0.883341323	0.870232212	0.813284099	0.854486724	0.88912389	0.844856906	0.870890249	0.873792975	TSS1500
CECR2	cg24074477	0.757191818	0.667428555	0.652398802	0.483815828	0.719693752	0.563473597	0.526338555	0.742597584	0.75175619	0.604403379	0.59830488	0.462929842	0.534507138	0.636227787	0.685451992	0.726360734	0.57567473	0.658182843	0.630176388	0.408062585	0.723295742	0.771074153	0.776989865	0.439881274	TSS200
CECR2	cg27103585	0.684670651	0.66431038	0.858104276	0.808036509	0.729054723	0.732056304	0.82922476	0.821605334	0.817593104	0.839259246	0.772459307	0.821218871	0.873710343	0.705349043	0.797778511	0.782772452	0.799882375	0.805729105	0.807510822	0.860641675	0.677882812	0.713548328	0.731774444	0.868412621	TSS1500
TUBA8	cg01920603	0.816117168	0.74445893	0.767609796	0.731623288	0.812482787	0.784209913	0.749857326	0.826601158	0.826978719	0.638701824	0.794517746	0.812192231	0.777530563	0.84445554	0.82182039	0.793543654	0.843516638	0.804043899	0.792097626	0.726393163	0.84538875	0.827494416	0.812025573	0.738963444	Body
TUBA8	cg04800681	0.480799519	0.563466668	0.485196095	0.741669739	0.505387734	0.477560809	0.442220922	0.632749852	0.435885495	0.786251451	0.464015422	0.697394554	0.424572875	0.592445298	0.445991183	0.615234797	0.488325498	0.533921302	0.417782234	0.780093682	0.431289438	0.704346531	0.470584294	0.738684751	Body
TUBA8	cg05816380	0.867370521	0.867809324	0.860077253	0.845769662	0.868033867	0.889752423	0.866506459	0.871187307	0.879797402	0.86605577	0.861412966	0.867785069	0.877552315	0.884057915	0.894685649	0.864242062	0.867557906	0.884215097	0.874067224	0.892915481	0.833904559	0.869984438	0.857777577	0.888471749	3'UTR
TUBA8	cg05875032	0.038739395	0.027894365	0.056518971	0.053559688	0.027252369	0.077546737	0.065287662	0.069619471	0.040055371	0.079623253	0.048769897	0.040962325	0.041454162	0.058691637	0.034022592	0.036494366	0.026884723	0.049206285	0.058623776	0.049762972	0.054288483	0.060213173	0.060894817	0.085803319	TSS200
TUBA8	cg08715837	0.068293279	0.062484756	0.071695811	0.13385148	0.068054918	0.064000922	0.086894136	0.09266026	0.072963818	0.074678156	0.069111203	0.086464463	0.103684018	0.079200728	0.069585565	0.075006283	0.069156334	0.081886655	0.080959109	0.080984175	0.085503369	0.094121161	0.072358559	0.08883224	1stExon
TUBA8	cg09365259	0.738279073	0.858686551	0.725384774	0.841201351	0.740660695	0.866671948	0.706930386	0.837447899	0.754308977	0.890720765	0.786211067	0.849447549	0.751294911	0.832874415	0.702104953	0.844645816	0.748852875	0.862225893	0.763412146	0.86208719	0.649081819	0.860219094	0.693783656	0.859777113	Body
TUBA8	cg10115191	0.075128417	0.064476222	0.062147136	0.077422622	0.050692493	0.063833478	0.080386771	0.089248448	0.056249212	0.080252848	0.052489711	0.065094459	0.042467884	0.063510885	0.059461104	0.059770158	0.068956597	0.063888114	0.079986215	0.085063456	0.065694176	0.071858505	0.048741887	0.079705099	TSS1500
TUBA8	cg13401831	0.067496236	0.073068719	0.063146985	0.066585782	0.074296285	0.056495666	0.096995444	0.071970873	0.067464673	0.052872871	0.067583484	0.057272441	0.078003634	0.064755998	0.055274227	0.061968332	0.0572863	0.071395277	0.073854097	0.060799799	0.071300685	0.076679463	0.096248772	0.072056083	TSS1500
TUBA8	cg14606067	0.102036613	0.129014191	0.092412462	0.246290379	0.119692538	0.101646652	0.112148314	0.209936568	0.112545259	0.115592936	0.11283923	0.12706319	0.111044451	0.116824457	0.120298074	0.119319699	0.112831535	0.106406994	0.150035219	0.108904383	0.084115407	0.153255495	0.125319551	0.114766777	Body
TUBA8	cg19678959	0.688340841	0.742027128	0.673321974	0.690882389	0.708464828	0.787208254	0.697877577	0.837617989	0.760300746	0.844709178	0.725537279	0.856459314	0.69331444	0.724545162	0.774667855	0.706536117	0.702851258	0.751888503	0.699247946	0.856861125	0.78647235	0.820928569	0.743291721	0.820006162	TSS1500
TUBA8	cg20064122	0.148206167	0.179399106	0.216653115	0.164219261	0.15508082	0.135199622	0.167537543	0.139897545	0.162862542	0.134083954	0.14102149	0.108546857	0.225197948	0.157620392	0.217741388	0.135637394	0.150000378	0.125022768	0.194004609	0.184015401	0.293661603	0.139309304	0.247643101	0.256082155	TSS200
TUBA8	cg21949747	0.207511274	0.154224831	0.145706778	0.117274757	0.102175258	0.134089596	0.140448314	0.106020156	0.11973546	0.099351147	0.127280042	0.122260719	0.139560713	0.121049329	0.119895009	0.115489622	0.098618051	0.096998118	0.143061464	0.134787176	0.144302139	0.103982078	0.192912657	0.139933421	TSS200
TUBA8	cg25835669	0.082706149	0.057693354	0.066898741	0.068965558	0.045370107	0.054837545	0.058906211	0.061064967	0.043222622	0.038805221	0.048108371	0.055066174	0.05621096	0.045205528	0.069619471	0.061044308	0.046740361	0.04489982	0.067616919	0.063262334	0.062939625	0.063164379	0.048504816	0.055956435	TSS200
DGCR5	cg01641361	0.05998356	0.047679684	0.059710653	0.047973864	0.049004432	0.057273061	0.037784399	0.048156506	0.066794135	0.068342666	0.074065131	0.056601162	0.04188951	0.069703475	0.058378859	0.112629225	0.109337441	0.082944922	0.053082941	0.033059936	0.05414728	0.03821534	0.052518678	0.041971782	TSS200
DGCR5	cg01962510	0.045267841	0.019903155	0.037660445	0.045284194	0.054841322	0.05049844	0.034538178	0.04580585	0.051142463	0.042689699	0.051362738	0.042130395	0.042126685	0.060888152	0.052728131	0.082533184	0.086045762	0.074775857	0.037435055	0.034301091	0.047991276	0.050456068	0.051182919	0.060119409	TSS200
DGCR5	cg01975714	0.790915031	0.794526177	0.769518555	0.729479031	0.763225548	0.693806534	0.704058177	0.595180345	0.738844759	0.699465254	0.767485834	0.595122489	0.775353485	0.737269465	0.766339211	0.755313928	0.78033681	0.735406453	0.777056746	0.701152351	0.753785431	0.784773889	0.728221847	0.833620343	Body
DGCR5	cg02345798	0.066274778	0.069485526	0.058454815	0.072320598	0.068515148	0.060863668	0.092775152	0.055689768	0.072350571	0.069728862	0.07854886	0.074437403	0.053196922	0.073839712	0.080181156	0.100100483	0.093247802	0.104789869	0.065017305	0.04405763	0.068464496	0.067265155	0.065963569	0.064516778	TSS200
DGCR5	cg03270935	0.04326155	0.040489603	0.033382205	0.032571147	0.039505067	0.044733953	0.047324949	0.031229337	0.038882773	0.04097652	0.057365384	0.033224791	0.052943793	0.054019769	0.053264533	0.078342333	0.069077059	0.067786634	0.055871329	0.040046811	0.047190686	0.037585567	0.051389249	0.036034846	TSS200
DGCR5	cg05256041	0.803145306	0.754148542	0.8094404	0.606407879	0.813745809	0.756433943	0.757343642	0.722634629	0.806846632	0.824219725	0.780447916	0.827647883	0.795710865	0.813366133	0.797056651	0.726411954	0.806006448	0.755025553	0.814481809	0.813296178	0.808201177	0.809030004	0.812845289	0.621257612	TSS1500
DGCR5	cg15279413	0.708452988	0.508086092	0.659828499	0.62529021	0.685385721	0.616798674	0.566089684	0.50135442	0.56924682	0.636529625	0.485905348	0.682814393	0.604270494	0.455336284	0.581138197	0.422704366	0.567553743	0.511933734	0.559528185	0.629188709	0.682511464	0.576575624	0.697366018	0.604276744	Body
DGCR5	cg16641210	0.217820816	0.175618177	0.192486391	0.144763628	0.17129921	0.13155162	0.191149858	0.143064383	0.199588982	0.128581667	0.160072856	0.152302802	0.17873504	0.131609424	0.155954809	0.135613822	0.121539681	0.146624465	0.180089804	0.178143434	0.2182408	0.143115787	0.255676747	0.183534946	TSS200
DGCR5	cg17362321	0.051914017	0.057721646	0.064202891	0.052280443	0.055303373	0.055129717	0.053424861	0.064189186	0.129489226	0.102166957	0.095648501	0.082455085	0.048346484	0.121978553	0.08481899	0.175694675	0.149677156	0.137821511	0.054009866	0.045388265	0.065342504	0.061350945	0.077964958	0.048366924	Body
DGCR5	cg19443311	0.116908792	0.128071053	0.145497756	0.069402845	0.096149355	0.098436307	0.138735502	0.093181016	0.114012654	0.07942056	0.154919609	0.097401873	0.117487872	0.066895533	0.139460911	0.095240197	0.108100447	0.112515856	0.093708662	0.069203495	0.076178943	0.064861518	0.066179556	0.06426853	TSS1500
DGCR5	cg23029801	0.128075122	0.14527997	0.156385028	0.108015926	0.145442298	0.113852475	0.190666223	0.139000029	0.226220942	0.17979583	0.228804797	0.130147713	0.127682319	0.21753152	0.201595548	0.204534673	0.276496187	0.197200552	0.203859963	0.196336905	0.177393985	0.134534894	0.164525166	0.114632437	Body
DGCR5	cg26222738	0.066909974	0.06602657	0.066842529	0.044731185	0.053174501	0.04946265	0.050505027	0.051779028	0.120146647	0.097906035	0.11233687	0.066359907	0.033806014	0.08130964	0.053858719	0.136470896	0.143078539	0.1093155	0.059884928	0.041062586	0.048763306	0.037718655	0.047264932	0.040045281	TSS1500
DGCR14	cg00280761	0.03811704	0.042317974	0.033365398	0.043365917	0.038298437	0.31254274	0.036553161	0.044132789	0.026563814	0.033908845	0.039455161	0.034691235	0.035881409	0.03090496	0.040697946	0.038480048	0.039681341	0.040454383	0.045060174	0.030954566	0.038134433	0.033485893	0.030837574	0.032327903	Body
DGCR14	cg00627837	0.9238501	0.883287602	0.921394196	0.903981638	0.916237249	0.83553366	0.914381051	0.882322137	0.881378316	0.887891821	0.877406931	0.875523146	0.912137716	0.873154786	0.915510427	0.859234246	0.904665323	0.905225173	0.9160802	0.801581103	0.902160923	0.905316598	0.862128595	0.920862756	TSS1500
DGCR14	cg03402435	0.057486584	0.051115406	0.063514057	0.061480862	0.090830294	0.182640933	0.07512928	0.062051733	0.058370811	0.052237504	0.062587691	0.065097879	0.084176699	0.061442741	0.07592985	0.068047824	0.050853344	0.067523408	0.045152038	0.069841735	0.065141787	0.053835867	0.064832874	0.070342034	TSS200
DGCR14	cg05080328	0.034184325	0.032692341	0.023614144	0.028477005	0.032772896	0.11936631	0.027703391	0.039155803	0.0289276	0.024139751	0.034545409	0.032133883	0.032046184	0.027647856	0.034122221	0.018124818	0.029829938	0.029657613	0.031242172	0.037065144	0.030648385	0.030739586	0.032381618	0.034300232	1stExon
DGCR14	cg06927134	0.518377101	0.828794464	0.574833606	0.835737272	0.501716185	0.840118362	0.768733798	0.836422941	0.645856221	0.856963588	0.796442781	0.852937234	0.732544325	0.81380181	0.627240218	0.829849778	0.67064171	0.803593102	0.759345338	0.84190899	0.685857105	0.809985289	0.694432823	0.801043327	3'UTR
DGCR14	cg09343544	0.176289611	0.106696861	0.209464622	0.443318494	0.20662974	0.239635804	0.119954063	0.122470836	0.147659589	0.093131729	0.131435731	0.134419582	0.172421028	0.090709318	0.095775063	0.117305942	0.084379953	0.091265596	0.221393432	0.145153716	0.110305406	0.103132457	0.163801342	0.194507467	Body
DGCR14	cg11806605	0.041328929	0.038472469	0.035644628	0.043065995	0.040165696	0.154236458	0.044832503	0.050153528	0.061361943	0.054916783	0.043404991	0.044235649	0.042007021	0.038185686	0.056268827	0.045852025	0.040135029	0.063271242	0.035303535	0.052700929	0.04075256	0.03942128	0.045748391	0.050307107	TSS200
DGCR14	cg13175773	0.08383025	0.069060625	0.065603237	0.062059887	0.062063717	0.057345806	0.068090126	0.073542961	0.062566439	0.056328662	0.064932275	0.075138306	0.080547123	0.064863328	0.072311134	0.071514221	0.058114964	0.052781568	0.05946315	0.077393562	0.06001203	0.062978168	0.067335124	0.059963108	TSS200
DGCR14	cg18655348	0.888925157	0.924158719	0.896958973	0.916905712	0.902474037	0.912018736	0.884003332	0.899490709	0.888095586	0.909850087	0.910383909	0.904095355	0.888833805	0.914992501	0.905795718	0.913008548	0.900120286	0.911535699	0.902711551	0.916893071	0.874734894	0.88550898	0.855709773	0.909357706	Body
DGCR14	cg18708412	0.483470314	0.768710802	0.553713342	0.817179461	0.490987401	0.839863673	0.715343872	0.812757804	0.690182222	0.857602837	0.847928186	0.824013853	0.677769959	0.810937192	0.565439443	0.849965241	0.669577871	0.70050453	0.742945443	0.823577576	0.697255837	0.781890892	0.745412723	0.767856544	3'UTR
DGCR14	cg19086124	0.102781615	0.089781604	0.081632505	0.06661193	0.026577817	0.050528856	0.11632279	0.095822778	0.081244332	0.069654929	0.07845293	0.092174559	0.123607529	0.089972271	0.078814948	0.082907032	0.091444085	0.097400728	0.0540192	0.057193087	0.146303519	0.111723007	0.091419955	0.103986298	TSS200
DGCR14	cg22656521	0.468975606	0.716541516	0.539644229	0.765305563	0.483842712	0.895697696	0.75484496	0.7435595	0.656253592	0.865137582	0.900955747	0.823944556	0.718164355	0.803548957	0.634605152	0.913844458	0.676682292	0.741364921	0.849516824	0.794360203	0.691952654	0.777834651	0.734188297	0.619820454	3'UTR
DGCR14	cg24349400	0.072242251	0.068233768	0.073431107	0.077336051	0.092994499	0.200097319	0.096011185	0.058995263	0.097679168	0.109000709	0.077819757	0.12176862	0.07997614	0.082350255	0.085290592	0.095297973	0.075769562	0.074840226	0.089836815	0.090129511	0.100335802	0.076915516	0.111667817	0.087522891	TSS1500
DGCR14	cg26368024	0.083931165	0.101886754	0.084971593	0.088644978	0.085350078	0.18306676	0.131770813	0.062054542	0.065661166	0.087023242	0.084822953	0.070263864	0.096732202	0.083295462	0.098967082	0.101722363	0.082728384	0.076739747	0.088157339	0.12558855	0.091188281	0.073900329	0.08615052	0.097877736	TSS200
C22orf39	cg00647258	0.072429738	0.059069831	0.060150418	0.049426528	0.04536	0.045247044	0.052537966	0.056666161	0.041582879	0.057379667	0.060441114	0.061460887	0.044784949	0.048005673	0.0571435	0.056154885	0.045797898	0.042249049	0.045697619	0.056405901	0.058468351	0.11631924	0.06820526	0.132150693	1stExon
C22orf39	cg03259733	0.036811017	0.03551972	0.050173007	0.044687992	0.045350208	0.027151482	0.04113333	0.028771673	0.044081396	0.05097416	0.037150064	0.038000845	0.044415449	0.056337009	0.035979646	0.044424641	0.046085192	0.048179739	0.041174464	0.046232756	0.046398745	0.027698707	0.04651395	0.042752134	1stExon
C22orf39	cg04467350	0.157276726	0.13068308	0.128395121	0.175259916	0.125805454	0.126918345	0.167142369	0.11530886	0.102239414	0.103673418	0.117058994	0.122361879	0.151294079	0.112419602	0.123014985	0.10741599	0.107609264	0.104134217	0.129648959	0.130864884	0.131597011	0.155670981	0.117230007	0.138259719	Body
C22orf39	cg06501716	0.481832783	0.626717701	0.617342457	0.585210045	0.472772386	0.670108833	0.624206563	0.650916894	0.578882597	0.516168435	0.551926769	0.594783482	0.695570694	0.468011195	0.544004301	0.502901028	0.498319766	0.384232788	0.525282765	0.641399629	0.653633822	0.615359805	0.668520154	0.667993539	TSS1500
C22orf39	cg11577689	0.03788291	0.030865797	0.052103438	0.034398567	0.05287949	0.034174692	0.050375451	0.040655326	0.041621057	0.03737505	0.039634947	0.046069827	0.04704998	0.045032987	0.056691519	0.029410752	0.038616109	0.043360744	0.051861649	0.058511383	0.059579251	0.049954107	0.050792101	0.051411638	Body
C22orf39	cg12149972	0.077969198	0.055188363	0.088030571	0.072009267	0.077751423	0.040370309	0.040087723	0.05285982	0.052668847	0.057357998	0.054549176	0.054011822	0.046386037	0.074784981	0.042417378	0.065478694	0.055851888	0.03562998	0.049106919	0.102536975	0.083894781	0.061989435	0.088486326	0.083406338	1stExon
C22orf39	cg15451141	0.21560308	0.176351961	0.174549265	0.150577819	0.187964808	0.179937439	0.247468273	0.160980867	0.189176102	0.13193126	0.14227354	0.257169094	0.222761546	0.135412533	0.199143007	0.140718011	0.137813742	0.137251872	0.1834036	0.257165941	0.176180557	0.251970002	0.213042149	0.447212292	TSS200
C22orf39	cg17136243	0.898282529	0.912149302	0.903695287	0.878172268	0.881679692	0.863007378	0.85965209	0.914124277	0.916379998	0.936491042	0.897874043	0.899222469	0.909878911	0.912483742	0.88384877	0.923361322	0.892948964	0.897599033	0.903851884	0.8829701	0.925057485	0.930306673	0.917816739	0.896233823	3'UTR
C22orf39	cg17623879	0.627212377	0.812921511	0.640922192	0.706594507	0.65844463	0.742202711	0.667040815	0.807626353	0.599653023	0.79029404	0.640568234	0.782550188	0.647316292	0.695803022	0.59279794	0.640764575	0.487524338	0.656315853	0.613926894	0.820612891	0.614954201	0.758317426	0.561926133	0.82404731	TSS1500
C22orf39	cg17733919	0.072889366	0.05664583	0.078684071	0.064395849	0.056647955	0.057557173	0.068072084	0.057267479	0.060131161	0.072788225	0.055891712	0.059001401	0.072696714	0.059457152	0.050587271	0.060337202	0.068022255	0.055025233	0.062371218	0.058368374	0.064311974	0.04535099	0.054816029	0.058623044	Body
